player_name,position,shooting_hand,height_inches,weight_lbs,college,draft_year,draft_position,season_count,age,current_team,g,gs,mp,pts,fg,fga,fg_perc,3p,3pa,3p_perc,2p,2pa,2p_perc,efg_perc,ft,fta,ft_perc,orb,drb,trb,ast,stl,blk,tov,pf,all_star,per,ws,recent_salary,salary_year,salary_team
Alex Abrines,Shooting Guard,Right,78.0,190.0,no_college,2013,32,1,24,Oklahoma City Thunder,0.0,6.0,15.5,6.0,2.0,5.0,0.39299999999999996,1.4,3.6,0.381,0.6,1.4,0.426,0.531,0.6,0.7,0.898,0.3,1.0,1.3,0.6,0.5,0.1,0.5,1.7,0,10.1,2.1,5994764.0,2016,OKC
Quincy Acy,Small Forward and Power Forward,Right,79.0,240.0,Baylor University,2012,37,9,27,Brooklyn Nets,32.0,1.0,15.9,6.5,2.0,4.8,0.425,1.1,2.6,0.434,0.9,2.2,0.414,0.542,1.3,1.8,0.754,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,0,11.8,0.9,1050961.0,2016,BRK
Steven Adams,Center,Right,84.0,255.0,no_college,2013,12,4,24,Oklahoma City Thunder,80.0,80.0,29.9,11.3,4.7,8.2,0.5710000000000001,0.0,0.0,0.0,4.7,8.2,0.5720000000000001,0.5710000000000001,2.0,3.2,0.611,3.5,4.2,7.7,1.1,1.1,1.0,1.8,2.4,0,16.5,6.5,3140517.0,2016,OKC
Arron Afflalo,Small Forward and Shooting Guard,Right,77.0,210.0,"University of California, Los Angeles",2007,27,12,32,Orlando Magic,61.0,45.0,25.9,8.4,3.0,6.9,0.44,1.0,2.5,0.41100000000000003,2.0,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,0,8.9,1.4,12500000.0,2016,SAC
Alexis Ajinca,Power Forward and Center,Right,86.0,248.0,no_college,2008,20,9,29,New Orleans Pelicans,39.0,15.0,15.0,5.3,2.3,4.6,0.5,0.0,0.1,0.0,2.3,4.5,0.511,0.5,0.7,1.0,0.725,1.2,3.4,4.5,0.3,0.5,0.6,0.8,2.0,0,12.9,1.0,4600000.0,2016,NOP
Cole Aldrich,Center,Right,83.0,250.0,University of Kansas,2010,11,9,29,Minnesota Timberwolves,62.0,0.0,8.6,1.7,0.7,1.4,0.523,0.0,0.0,0.0,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,0,12.7,1.3,7643979.0,2016,MIN
LaMarcus Aldridge,Center and Power Forward,Right,83.0,260.0,University of Texas at Austin,2006,2,11,32,San Antonio Spurs,72.0,72.0,32.4,17.3,6.9,14.6,0.47700000000000004,0.3,0.8,0.41100000000000003,6.6,13.8,0.48,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,1,18.6,7.2,20575005.0,2016,SAS
Lavoy Allen,Power Forward and Center,Right,81.0,260.0,Temple University,2011,50,8,28,no_current_team,61.0,5.0,14.3,2.9,1.3,2.8,0.45799999999999996,0.0,0.0,0.0,1.3,2.7,0.461,0.45799999999999996,0.4,0.5,0.6970000000000001,1.7,1.9,3.6,0.9,0.3,0.4,0.5,1.3,0,11.6,1.7,4000000.0,2016,IND
Tony Allen,Shooting Guard and Point Guard,Right,76.0,213.0,Oklahoma State University,2004,25,13,35,no_current_team,71.0,66.0,27.0,9.1,3.9,8.4,0.461,0.2,0.8,0.278,3.6,7.6,0.479,0.473,1.1,1.8,0.615,2.3,3.2,5.5,1.4,1.6,0.4,1.4,2.5,0,13.3,3.1,5505618.0,2016,MEM
Al-Farouq Aminu,Small Forward,Right,81.0,220.0,Wake Forest University,2010,8,7,27,Portland Trail Blazers,61.0,25.0,29.1,8.7,3.0,7.6,0.39299999999999996,1.1,3.5,0.33,1.9,4.2,0.445,0.46799999999999997,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,0,11.3,1.9,7680965.0,2016,POR
